id_cliente,nombre,apellido,edad,email
1,Ana,Perez,30,ana.perez@gmail.com
2,Luis,Gomez,25,luis.gomez@gmail.com
3,Maria,Lopez,22,maria.lopez@gmail.com
4,Carlos,Ruiz,28,carlos.ruiz@gmail.com
5,Sofia,Martinez,34,sofia.martinez@gmail.com
6,Pedro,Hernandez,40,pedro.hernandez@gmail.com
7,Lucia,Fernandez,29,lucia.fernandez@gmail.com
8,Diego,Garcia,35,diego.garcia@gmail.com
9,Laura,Ortiz,31,laura.ortiz@gmail.com
10,Javier,Morales,27,javier.morales@gmail.com
11,Andrea,Ramos,23,andrea.ramos@gmail.com
12,Daniel,Gonzalez,33,daniel.gonzalez@gmail.com
13,Monica,Castro,26,monica.castro@gmail.com
14,Ricardo,Vargas,38,ricardo.vargas@gmail.com
15,Elena,Mendoza,32,elena.mendoza@gmail.com
16,Fernando,Jimenez,41,fernando.jimenez@gmail.com
17,Carmen,Soto,24,carmen.soto@gmail.com
18,Rafael,Nieto,36,rafael.nieto@gmail.com
19,Isabel,Silva,28,isabel.silva@gmail.com
20,Mario,Rojas,30,mario.rojas@gmail.com
21,Alejandra,Cruz,29,alejandra.cruz@gmail.com
22,Jose,Salazar,35,jose.salazar@gmail.com
23,Patricia,Prieto,27,patricia.prieto@gmail.com
24,Gabriel,Cordero,33,gabriel.cordero@gmail.com
25,Claudia,Mejia,34,claudia.mejia@gmail.com
26,Oscar,Luna,38,oscar.luna@gmail.com
27,Natalia,Moreno,26,natalia.moreno@gmail.com
28,Victor,Bautista,42,victor.bautista@gmail.com
29,Sandra,Chavez,31,sandra.chavez@gmail.com
30,Juan,Pineda,24,juan.pineda@gmail.com
31,Silvia,Reyes,30,silvia.reyes@gmail.com
32,Francisco,Diaz,36,francisco.diaz@gmail.com
33,Julia,Aguilar,25,julia.aguilar@gmail.com
34,Roberto,Molina,39,roberto.molina@gmail.com
35,Gloria,Perez,28,gloria.perez@gmail.com
36,Cesar,Ibanez,37,cesar.ibanez@gmail.com
37,Lorena,Guerrero,32,lorena.guerrero@gmail.com
38,Emilio,Vega,29,emilio.vega@gmail.com
39,Tania,Benitez,27,tania.benitez@gmail.com
40,Adrian,Flores,31,adrian.flores@gmail.com
41,Karina,Escobar,30,karina.escobar@gmail.com
42,Hector,Nunez,34,hector.nunez@gmail.com
43,Yolanda,Murillo,26,yolanda.murillo@gmail.com
44,Alberto,Paredes,35,alberto.paredes@gmail.com
45,Rosa,Medina,28,rosa.medina@gmail.com
46,Esteban,Carrillo,33,esteban.carrillo@gmail.com
47,Marcela,Valdez,29,marcela.valdez@gmail.com
48,Felipe,Navarro,37,felipe.navarro@gmail.com
49,Veronica,Arce,31,veronica.arce@gmail.com
50,Guillermo,Serrano,40,guillermo.serrano@gmail.com
